Student_ID,Gender,Age,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Sleep_Hours,Final_Score
1057,Female,20,2.4,89.2,85.2,83.0,73.1,6.8,79.0
1058,Male,21,5.0,83.6,80.5,84.3,90.7,8.5,84.8
1059,Male,20,9.5,86.8,98.7,100.0,100.0,5.8,100.0
1060,Male,19,1.6,70.7,78.1,60.8,80.2,6.9,76.9
1061,Male,20,4.2,94.4,84.8,87.9,91.1,7.2,88.9
1062,Male,21,3.8,89.0,76.9,86.6,76.1,6.6,75.0
1063,Male,18,3.4,85.6,83.5,58.2,84.1,4.0,74.7
1064,Male,20,5.9,75.8,84.6,92.6,90.7,6.8,89.3
1065,Male,18,6.5,84.9,100.0,96.5,100.0,8.0,100.0
1066,Female,19,5.9,79.4,85.4,86.6,100.0,7.9,90.6
1067,Female,17,3.2,67.1,74.1,93.6,89.6,7.4,88.1
1068,Male,19,8.9,81.5,100.0,100.0,100.0,5.8,100.0
1069,Female,20,1.3,80.6,69.4,64.4,89.1,7.4,76.7
1070,Female,18,2.6,91.6,84.7,87.3,85.1,6.4,84.9
1071,Female,18,4.8,61.9,80.1,92.6,96.0,7.4,89.5
1072,Female,21,4.7,84.1,100.0,89.2,86.6,7.1,93.9
1073,Male,18,5.4,71.6,96.8,89.1,86.1,5.9,89.8
1074,Female,21,7.3,84.9,85.4,100.0,100.0,6.0,93.3
1075,Male,17,4.3,85.4,89.3,70.4,90.2,7.4,81.7
1076,Female,20,4.7,81.2,78.4,85.5,97.7,6.8,85.2
1077,Female,21,3.4,89.3,82.5,81.1,83.4,6.1,83.3
1078,Female,17,5.6,70.8,85.5,98.4,97.1,6.0,89.8
1079,Male,18,3.9,92.0,76.1,89.2,93.6,6.7,82.8
1080,Female,18,3.9,75.6,90.6,81.7,84.6,8.7,89.4
1081,Male,17,5.5,68.0,85.8,85.5,92.8,6.4,86.3
1082,Female,18,6.4,79.5,89.6,100.0,92.5,7.0,94.5
1083,Male,17,1.0,63.1,61.2,65.2,85.1,7.1,66.8
1084,Female,21,5.1,84.3,87.5,82.8,71.8,5.8,81.3
1085,Male,21,4.0,79.7,83.0,79.5,88.4,5.1,82.0
1086,Male,17,6.2,93.1,92.6,100.0,85.2,5.9,89.8
1087,Female,21,4.0,87.8,61.8,90.4,86.8,7.3,82.0
1088,Male,21,6.8,69.5,91.0,93.2,94.2,7.1,95.1
1089,Female,21,3.3,74.5,66.8,81.8,92.9,7.8,79.7
1090,Female,19,1.0,86.7,69.6,68.8,70.4,7.1,71.6
1091,Female,20,6.4,89.6,83.3,95.0,100.0,6.9,96.2
1092,Female,18,3.0,93.0,69.2,77.3,76.3,6.3,75.7
1093,Female,19,1.7,92.9,86.8,76.6,90.4,8.0,85.3
1094,Female,21,4.5,81.2,80.7,96.0,83.9,6.0,87.4
1095,Female,17,4.1,85.3,79.3,75.9,87.0,5.8,81.7
1096,Female,21,6.0,93.7,98.7,91.3,96.4,7.6,94.7
1097,Female,20,6.1,79.3,85.9,80.8,100.0,5.5,87.8
1098,Female,21,4.7,85.4,100.0,79.6,100.0,9.7,93.8
1099,Female,17,2.9,79.1,75.0,77.6,84.2,7.1,77.7
1100,Male,20,5.0,77.0,88.6,82.8,81.6,7.4,83.7
1101,Male,21,4.8,82.4,92.7,100.0,83.9,6.1,92.6
1102,Female,20,5.5,75.8,99.5,86.4,83.5,6.7,92.4
1103,Female,18,2.9,80.8,71.0,89.3,65.2,6.5,73.4
1104,Female,18,3.8,72.7,75.0,88.1,91.2,6.4,86.0
1105,Female,21,5.4,80.3,98.8,89.0,90.3,7.7,94.4
1106,Female,20,6.7,86.0,100.0,100.0,96.0,6.5,100.0
1107,Female,17,6.2,76.7,100.0,95.6,100.0,8.1,96.8
1108,Female,21,4.6,82.1,77.2,100.0,88.9,9.9,85.3
1109,Female,18,3.6,83.3,93.2,94.0,78.9,6.7,90.3
1110,Male,18,5.2,86.1,82.8,94.2,91.3,7.2,89.7
1111,Female,21,2.5,80.8,77.8,84.3,72.3,7.4,80.4
1112,Male,20,3.0,91.8,82.0,90.2,89.6,9.0,85.7
1113,Female,18,7.2,63.1,83.5,83.3,91.9,6.9,87.5
1114,Female,20,5.2,100.0,80.2,94.0,92.0,6.1,90.7
1115,Male,18,3.9,74.2,64.4,88.9,78.2,5.6,76.9
1116,Female,18,6.0,85.6,92.7,100.0,95.0,6.9,96.8
1117,Male,19,6.8,73.6,79.1,87.6,95.9,6.5,87.9
1118,Female,18,3.7,87.8,76.2,91.5,85.6,9.2,82.7
1119,Female,17,3.7,84.5,82.2,87.2,85.5,8.9,86.0
1120,Male,21,3.5,76.1,56.4,78.6,80.9,5.9,74.8
1121,Female,21,6.2,91.7,99.8,98.4,96.3,6.2,98.3
1122,Male,20,6.3,80.5,72.5,95.6,96.0,7.1,84.7
1123,Female,18,7.0,86.9,97.5,100.0,97.3,8.5,96.9
1124,Male,17,6.3,73.7,90.0,100.0,100.0,7.1,92.9
1125,Male,20,1.6,81.7,75.8,79.8,76.2,6.3,79.9
1126,Female,19,5.0,100.0,91.3,96.1,92.1,6.9,94.7
1127,Female,20,2.6,90.7,94.4,95.2,84.7,6.3,90.8
1128,Male,20,3.6,84.8,84.1,93.2,85.8,7.7,85.0
1129,Female,18,4.8,78.0,92.2,85.1,75.7,6.2,83.1
1130,Female,19,6.0,82.6,84.6,82.6,96.8,6.4,86.3
1131,Female,20,2.9,83.8,80.7,73.9,76.6,8.3,77.3
1132,Male,17,1.0,86.0,82.5,79.6,80.6,6.2,81.1
1133,Male,17,4.8,72.3,79.4,78.3,83.7,5.4,83.0
1134,Male,21,9.3,88.0,100.0,100.0,100.0,7.1,98.6
1135,Male,19,4.1,72.2,87.5,75.6,79.3,6.6,77.9
1136,Male,19,4.6,96.7,83.8,86.3,94.2,7.6,85.5
1137,Male,21,7.7,75.1,79.1,100.0,100.0,7.3,92.6
1138,Male,20,5.6,84.7,92.0,90.7,92.1,7.0,90.1
1139,Male,19,4.9,91.0,96.6,79.7,88.5,6.9,87.7
1140,Male,17,5.3,79.7,75.6,88.6,95.0,6.2,85.1
1141,Female,17,5.0,85.1,93.0,91.4,96.1,7.1,95.4
1142,Male,18,2.4,94.9,85.9,78.6,80.6,8.0,80.6
1143,Female,19,2.1,87.1,56.5,85.9,64.8,5.9,68.5
1144,Female,20,7.9,85.2,92.2,98.4,99.5,7.0,98.0
1145,Female,21,4.8,66.8,79.6,93.6,91.5,8.1,86.9
1146,Male,21,4.7,73.6,82.3,90.5,82.3,7.6,86.0
1147,Male,20,4.3,91.4,81.9,97.3,91.8,8.4,90.9
1148,Male,18,5.9,87.1,84.8,84.4,90.6,6.4,86.7
1149,Male,21,9.1,88.5,100.0,100.0,94.0,5.0,95.9
1150,Female,19,5.4,87.7,89.3,91.7,89.4,7.2,92.6
1151,Male,18,3.4,93.6,78.1,74.3,92.3,7.4,85.5
1152,Male,19,4.3,79.6,84.4,95.5,72.1,8.5,84.6
1153,Male,17,6.4,83.1,98.6,89.7,100.0,8.3,93.8
1154,Male,18,3.5,72.7,78.8,75.5,74.1,7.6,76.3
1155,Male,21,6.0,70.5,86.9,82.4,96.8,7.8,90.3
1156,Female,18,1.0,67.2,60.3,73.1,74.5,6.8,67.8
1157,Male,18,4.1,74.0,73.9,69.0,82.0,5.7,74.4
1158,Female,18,5.6,96.0,88.4,100.0,96.0,7.1,95.4
1159,Male,18,6.8,68.0,94.2,100.0,89.9,8.1,97.3
1160,Female,19,3.0,79.3,70.3,84.6,72.9,7.7,77.6
1161,Male,17,1.8,70.4,74.1,78.7,86.8,7.9,81.2
1162,Male,20,4.0,76.6,91.7,88.5,78.3,6.5,85.7
1163,Female,18,2.5,83.5,78.9,70.7,91.2,6.7,80.5
1164,Female,21,4.2,75.7,79.1,95.6,80.1,7.5,83.7
1165,Female,18,4.5,91.8,76.3,85.0,94.3,6.4,86.4
1166,Male,21,2.1,95.8,90.3,79.2,73.7,6.4,83.7
1167,Female,19,5.9,61.8,75.8,84.5,92.8,7.3,85.1
1168,Male,21,4.2,75.9,89.3,88.4,84.2,7.8,86.7
1169,Male,20,6.4,82.5,97.6,90.2,94.3,6.8,93.6
1170,Female,17,1.2,92.1,70.2,74.6,80.4,5.7,78.4
1171,Female,21,2.7,77.9,72.9,67.1,75.7,6.2,71.0
1172,Male,21,5.4,81.8,73.8,99.8,82.5,7.2,87.6
1173,Male,17,3.1,71.6,78.6,83.4,85.3,7.2,83.0
1174,Female,20,4.2,68.2,84.7,79.4,75.7,7.3,79.5
1175,Female,18,4.5,95.0,80.1,87.1,96.5,7.6,84.8
1176,Female,21,4.8,65.6,80.0,88.4,92.0,7.0,87.0
1177,Male,17,3.3,100.0,85.2,81.2,86.3,7.3,84.3
1178,Male,19,4.8,88.5,92.3,90.6,99.9,7.0,97.6
1179,Male,17,3.1,88.1,81.8,93.1,89.2,8.3,86.3
1180,Male,19,5.7,87.2,79.8,88.3,91.9,8.6,91.0
1181,Male,20,4.3,79.7,77.4,86.6,95.5,5.7,86.8
1182,Male,18,4.8,85.5,88.3,91.0,82.5,6.7,88.3
1183,Female,17,9.1,80.3,100.0,100.0,100.0,7.0,98.8
1184,Male,21,2.5,87.0,72.3,75.2,79.8,6.7,76.2
1185,Male,20,7.0,81.7,100.0,100.0,100.0,9.0,100.0
1186,Male,17,1.0,73.4,52.5,64.9,79.5,7.2,66.8
1187,Female,21,1.0,74.2,62.2,54.2,78.1,6.1,62.2
1188,Male,17,2.3,73.1,72.9,80.7,79.2,7.7,80.3
1189,Male,19,2.4,90.7,76.9,70.9,80.5,7.3,76.6
1190,Female,17,4.9,76.4,75.1,92.5,76.2,7.3,82.7
1191,Male,17,5.0,64.8,87.6,96.7,78.8,9.0,87.7
1192,Male,17,4.0,85.6,86.9,90.9,100.0,7.4,90.4
1193,Male,20,4.2,95.6,87.2,97.3,77.9,6.7,88.1
1194,Male,17,5.4,89.0,90.5,100.0,86.4,4.8,93.0
1195,Male,21,6.0,76.6,85.7,98.9,100.0,6.8,91.8
1196,Female,19,2.1,67.7,59.1,76.7,77.5,8.4,72.4
1197,Female,19,3.8,80.8,75.4,96.2,91.7,6.9,89.6
1198,Female,17,4.4,80.6,82.3,97.0,88.8,4.5,87.9
1199,Male,20,5.4,73.3,86.7,100.0,99.6,6.5,93.2
1200,Male,20,3.1,87.0,81.6,79.4,87.4,8.1,82.0
1201,Male,21,4.3,98.6,93.4,80.2,97.7,7.6,90.1
1202,Female,17,4.6,84.0,79.9,82.1,83.5,6.1,81.2
1203,Male,19,3.2,83.4,79.0,86.5,86.9,6.4,83.9
1204,Male,20,3.2,73.6,80.8,79.5,77.4,6.5,79.8
1205,Female,17,4.7,94.6,87.5,88.5,89.0,6.3,85.6
1206,Male,20,4.3,81.3,71.2,87.6,91.4,4.8,80.5
1207,Female,20,5.4,76.8,80.1,78.0,98.1,7.8,79.3
1208,Female,19,2.6,82.6,84.9,81.4,94.1,8.4,88.3
1209,Female,18,3.9,86.2,92.5,92.3,96.7,5.3,93.7
1210,Male,21,4.1,83.3,94.2,91.2,95.2,8.4,95.5
1211,Male,21,6.0,92.9,95.7,100.0,85.8,6.9,92.0
1212,Male,19,2.8,85.5,70.2,94.6,96.6,8.3,86.7
1213,Male,20,4.9,79.4,85.5,87.0,95.9,7.0,89.6
1214,Male,17,5.0,85.6,100.0,84.6,86.4,7.1,89.4
1215,Male,20,7.5,86.5,100.0,100.0,100.0,7.4,96.9
1216,Male,19,2.7,70.3,71.1,84.1,69.5,6.1,78.7
1217,Female,21,3.3,92.3,88.9,90.3,92.2,8.3,93.2
1218,Male,20,2.8,79.3,65.2,76.1,70.1,5.8,69.7
1219,Female,21,1.5,79.5,65.3,72.8,69.2,6.6,70.1
1220,Male,17,7.7,88.8,91.9,92.3,100.0,7.6,93.5
1221,Male,21,2.3,88.7,80.3,87.4,88.0,6.4,83.1
1222,Male,21,3.0,75.7,83.2,88.1,83.8,7.9,88.7
1223,Female,18,6.9,89.2,97.1,89.8,100.0,8.5,92.1
1224,Female,18,1.3,77.0,63.9,79.9,60.1,8.1,67.8
1225,Female,18,5.9,98.4,92.6,98.0,95.3,4.9,95.5
1226,Female,21,2.0,74.5,68.2,65.9,79.8,7.1,74.2
1227,Male,19,6.7,84.2,89.3,88.0,97.4,8.1,93.1
1228,Female,21,1.0,75.0,69.1,71.3,70.2,5.6,66.9
1229,Male,19,1.3,100.0,71.0,75.9,79.7,7.8,75.3
1230,Male,19,3.5,70.9,65.5,94.6,79.8,7.7,80.0
1231,Female,18,6.2,86.7,80.8,100.0,96.1,5.7,91.7
1232,Female,20,4.4,75.4,70.5,89.1,85.4,7.9,82.7
1233,Female,17,3.9,78.8,83.5,87.7,95.6,7.3,85.8
1234,Female,18,6.9,86.1,97.8,100.0,85.1,7.7,93.9
1235,Female,18,8.4,93.0,100.0,100.0,100.0,5.9,100.0
1236,Female,20,5.7,96.6,98.6,99.9,91.8,7.2,98.4
1237,Female,17,3.4,68.2,83.5,68.1,79.5,5.1,77.2
1238,Female,21,3.7,84.4,74.4,100.0,83.7,4.5,85.6
1239,Male,21,2.2,95.1,82.0,72.0,94.1,7.2,81.9
1240,Female,18,4.7,66.8,69.8,82.0,100.0,8.2,84.6
1241,Female,17,1.6,84.8,84.5,62.3,72.1,7.3,73.1
1242,Male,18,5.5,82.0,78.7,95.0,92.7,6.9,86.5
1243,Female,19,8.1,85.7,94.8,100.0,100.0,6.8,95.7
1244,Male,18,5.8,75.0,82.2,95.1,85.4,6.0,84.7
1245,Male,18,3.7,69.1,65.2,65.5,85.8,6.8,74.4
1246,Female,21,5.4,64.8,84.3,95.0,86.4,7.5,90.3
1247,Male,21,7.4,90.8,100.0,94.2,95.2,6.5,96.3
1248,Male,21,7.3,91.9,98.5,100.0,100.0,7.8,98.6
1249,Male,19,2.7,84.7,65.7,87.4,75.0,7.2,74.9
1250,Male,21,5.4,77.2,100.0,91.4,98.6,7.3,98.8
1251,Female,17,4.2,67.4,84.7,85.0,97.6,8.0,92.5
1252,Male,20,6.0,87.1,100.0,100.0,97.3,6.4,98.0
1253,Female,17,5.2,72.1,79.1,90.9,90.3,7.7,88.9
1254,Male,17,1.0,75.6,75.3,66.9,72.7,6.6,71.6
1255,Male,21,3.9,76.7,87.2,81.7,93.3,7.4,86.7
1256,Male,20,4.9,80.2,82.6,88.7,97.1,6.3,92.1
1257,Male,20,1.9,75.2,81.9,65.5,73.8,6.0,73.7
1258,Female,20,5.5,82.3,85.7,98.9,94.7,7.1,93.6
1259,Female,19,1.8,76.4,66.5,73.7,77.9,4.9,72.9
1260,Male,21,3.1,88.3,52.3,82.7,76.2,6.7,66.9
1261,Male,20,6.9,91.3,98.5,100.0,100.0,5.2,100.0
1262,Female,19,2.9,83.0,68.5,80.1,95.3,7.9,79.5
1263,Male,18,5.5,86.2,86.9,91.8,100.0,8.2,89.7
1264,Male,18,1.3,100.0,66.9,73.2,70.3,6.0,69.1
1265,Male,19,8.2,71.4,94.8,100.0,87.9,7.5,93.5
1266,Female,19,4.0,70.9,84.0,84.9,89.4,8.0,88.0
1267,Female,21,4.7,88.3,88.4,84.9,86.9,8.0,84.6
1268,Female,21,4.8,99.5,96.6,91.5,96.9,7.2,93.3
1269,Male,18,5.6,79.7,99.5,86.1,100.0,7.8,95.4
1270,Male,20,1.8,97.5,73.8,73.2,76.2,6.3,71.7
1271,Female,18,4.5,82.9,81.1,73.1,86.3,7.1,78.5
1272,Female,20,3.3,75.9,84.9,77.4,83.2,6.5,78.4
1273,Female,20,1.5,73.1,76.9,57.0,63.5,6.2,67.8
1274,Female,21,6.3,87.7,99.6,92.0,92.4,7.0,94.2
1275,Male,17,3.9,73.8,72.6,77.3,84.4,7.4,77.8
1276,Female,17,4.9,82.7,91.2,98.3,89.8,8.3,95.1
1277,Male,19,4.8,96.3,91.0,84.0,98.4,7.3,89.3
1278,Female,21,3.9,79.2,90.4,77.9,100.0,7.7,88.3
1279,Male,20,8.1,93.8,99.2,100.0,100.0,7.7,97.6
1280,Female,17,4.4,71.1,71.1,81.7,82.5,10.0,76.1
1281,Female,20,1.7,77.2,74.8,82.2,83.2,5.0,78.1
1282,Female,17,3.8,69.3,56.7,70.1,70.1,6.2,64.4
1283,Female,17,5.4,82.7,84.4,89.3,84.6,8.6,85.4
1284,Male,17,5.5,89.0,82.1,94.9,90.1,6.6,89.6
1285,Female,21,2.5,82.7,69.2,86.5,79.5,8.0,76.6
1286,Male,18,6.2,93.0,89.1,94.1,94.8,7.3,93.2
1287,Male,20,1.3,75.3,81.5,58.4,75.6,9.3,72.6
1288,Male,21,6.6,84.0,99.2,93.4,98.5,5.8,96.0
1289,Male,21,2.1,77.3,72.6,87.4,86.1,8.3,80.2
1290,Female,21,4.1,85.3,95.0,90.2,90.5,8.9,92.1
1291,Male,21,6.4,86.5,84.1,96.5,92.7,5.9,90.6
1292,Male,21,4.7,87.2,78.3,81.3,98.9,7.9,86.0
1293,Male,19,6.0,72.4,93.9,79.6,85.2,5.9,89.4
1294,Female,20,5.6,74.0,91.6,89.1,79.5,7.0,87.2
1295,Female,21,6.8,75.7,88.4,82.7,100.0,6.7,88.6
1296,Female,20,6.4,79.9,80.0,97.3,100.0,4.4,90.3
1297,Female,19,3.7,82.8,93.7,77.2,80.4,7.5,82.2
1298,Male,19,5.6,88.4,77.4,93.0,92.4,7.2,84.4
1299,Male,20,1.8,74.4,68.1,59.8,70.4,8.6,67.8
1300,Female,17,4.4,67.6,82.7,79.7,87.2,7.7,78.5
1301,Male,18,6.0,100.0,100.0,91.2,100.0,9.5,97.9
1302,Male,17,4.7,71.8,85.7,66.1,91.6,7.1,78.9
1303,Male,17,5.3,89.5,93.8,96.2,100.0,6.9,95.5
1304,Female,17,4.1,82.3,78.2,97.9,92.5,6.8,87.6
1305,Female,21,6.5,84.3,97.6,100.0,97.1,6.5,100.0
1306,Male,19,4.4,82.0,82.3,89.0,93.1,4.6,87.9
1307,Female,17,3.7,78.5,67.3,78.7,89.2,6.8,79.4
1308,Female,19,6.1,86.2,96.3,98.4,100.0,4.7,100.0
1309,Female,20,2.0,78.1,81.3,85.3,74.3,7.5,80.9
1310,Female,18,5.4,92.5,96.2,92.8,81.6,5.6,88.2
1311,Female,20,2.6,87.1,77.2,69.4,88.2,6.0,77.3
1312,Male,20,6.8,87.4,87.3,93.0,100.0,6.3,91.6
1313,Female,21,4.0,77.4,62.5,96.6,82.9,6.8,79.5
1314,Male,18,4.7,79.9,86.1,86.2,87.1,7.0,86.2
1315,Male,20,5.2,71.3,94.5,61.2,100.0,8.2,84.2
1316,Female,20,1.0,78.8,76.3,58.6,67.8,6.4,68.4
1317,Male,18,3.3,72.7,84.0,76.1,75.5,7.5,79.8
1318,Male,18,6.4,93.8,98.6,100.0,100.0,10.0,99.2
1319,Male,20,6.1,82.5,100.0,91.7,100.0,7.4,97.9
1320,Female,18,5.0,83.5,94.3,97.3,100.0,6.8,96.0
1321,Female,20,2.1,80.0,69.5,70.7,81.5,6.1,76.1
1322,Male,20,5.6,83.8,94.9,75.7,84.6,6.8,84.0
1323,Female,21,5.8,100.0,89.7,92.0,100.0,6.0,96.0
1324,Female,17,4.6,79.3,88.9,89.3,88.4,7.3,85.9
1325,Female,20,6.7,76.1,81.9,96.4,90.4,7.1,88.8
1326,Female,19,3.3,86.8,68.4,70.2,74.7,4.6,70.3
1327,Male,17,3.6,59.3,82.9,73.6,84.3,7.0,80.6
1328,Male,17,1.0,82.6,78.8,94.8,77.0,8.2,85.6
1329,Female,17,6.2,78.7,95.4,82.5,96.8,6.6,88.8
1330,Female,21,5.1,73.1,84.5,91.1,96.8,6.3,88.3
1331,Male,20,1.5,86.6,52.5,56.8,70.0,5.5,56.5
1332,Male,21,1.3,82.5,68.5,78.0,82.6,5.0,78.7
1333,Female,20,2.9,65.8,77.9,69.2,74.7,7.9,74.5
1334,Male,21,5.9,76.2,84.3,93.8,100.0,6.8,90.2
1335,Female,21,4.0,56.0,70.4,67.7,84.3,7.8,72.7
1336,Female,19,3.1,84.6,92.8,85.6,78.8,8.7,88.4
1337,Male,21,2.7,84.5,78.3,73.5,68.6,8.0,73.2
1338,Male,18,2.6,74.9,77.6,70.2,83.6,6.4,76.1
1339,Female,19,1.0,86.9,77.6,77.0,72.8,7.2,74.4
1340,Female,21,2.3,70.5,63.3,69.9,74.2,6.3,66.8
1341,Male,17,2.6,73.3,74.8,78.3,82.6,6.2,80.7
1342,Female,18,5.7,85.8,100.0,91.6,100.0,7.4,100.0
1343,Male,18,4.2,75.8,95.1,83.1,93.1,6.1,88.3
1344,Female,18,3.0,81.4,75.8,81.0,71.2,4.6,79.0
1345,Male,19,8.7,76.9,97.8,98.9,100.0,6.0,97.9
1346,Male,21,3.3,78.3,80.3,72.2,78.1,6.7,77.9
1347,Male,21,6.6,78.7,96.3,92.1,82.5,8.7,93.5
1348,Female,17,7.4,75.6,100.0,100.0,90.1,6.5,96.7
1349,Female,17,1.7,84.7,66.2,77.1,79.7,7.6,73.4
1350,Male,18,4.6,76.3,80.9,78.4,80.3,6.8,81.4
1351,Female,17,3.6,82.1,73.3,87.5,85.6,8.3,79.7
1352,Male,19,3.4,75.4,71.4,85.3,85.9,8.3,82.9
1353,Male,21,5.5,68.2,89.3,92.5,89.1,8.3,90.6
1354,Female,18,3.4,90.2,86.6,74.3,80.7,5.1,79.4
1355,Female,17,3.6,86.5,77.1,78.8,77.5,7.2,76.6
1356,Male,19,4.2,100.0,95.4,85.8,93.4,7.8,88.7
1357,Female,19,3.8,72.6,88.3,78.5,69.0,7.4,78.0
1358,Female,17,2.4,80.1,91.5,82.3,75.2,7.7,82.9
1359,Male,21,5.9,80.8,90.8,94.6,87.7,7.1,89.1
1360,Male,17,6.4,90.9,89.0,99.2,96.5,6.2,94.7
1361,Female,18,5.1,77.4,75.7,96.5,86.2,5.1,87.1
1362,Male,17,3.8,71.5,69.1,85.4,88.6,6.3,80.2
1363,Male,19,3.2,92.9,95.3,86.2,100.0,9.9,94.9
1364,Female,17,3.2,79.2,65.6,70.3,73.9,6.5,68.1
1365,Male,21,8.7,89.9,100.0,98.3,100.0,4.8,100.0
1366,Male,20,6.2,88.9,87.6,94.4,93.1,7.8,91.9
1367,Female,17,3.0,81.7,73.7,87.8,84.4,7.9,84.9
1368,Female,21,4.8,80.4,85.7,88.7,94.5,8.4,94.2
1369,Male,21,3.8,78.5,75.6,77.9,100.0,7.5,82.8
1370,Male,19,5.6,81.9,97.6,86.3,90.3,7.9,90.6
1371,Female,21,5.5,89.8,100.0,94.6,84.6,9.0,93.0
1372,Female,21,6.5,74.8,84.8,99.2,100.0,6.2,95.6
1373,Female,21,3.0,83.0,74.0,92.2,75.6,6.0,83.5
1374,Female,21,4.7,71.9,79.9,81.6,82.7,5.8,80.0
1375,Male,18,1.4,73.1,73.0,70.4,64.9,6.7,70.4
1376,Female,18,2.2,81.7,75.3,68.9,78.1,8.6,73.6
1377,Female,19,6.1,64.4,98.1,100.0,85.1,7.6,96.1
1378,Male,17,2.8,100.0,92.2,73.8,91.7,7.5,88.6
1379,Female,21,3.0,71.3,63.6,84.4,77.6,5.0,74.6
1380,Male,17,4.5,81.6,87.7,82.6,82.8,6.2,81.1
1381,Female,17,5.8,92.5,100.0,88.0,100.0,5.0,97.3
1382,Female,19,2.6,74.2,71.9,68.9,81.6,8.3,72.1
1383,Female,21,1.0,61.3,63.6,87.2,57.0,8.7,69.6
1384,Male,21,2.9,78.0,73.5,81.5,88.1,7.9,82.3
1385,Male,20,6.7,74.1,86.3,92.5,95.7,5.9,91.9
